group_id,id,geo_name,geo,year,private_area_size,building_type,trd_unit_price,rent_y_unit_price,rent_m_unit_price
"04000KR11","05000KR11110","종로구","05000KR11110","2011","A","ALLIANCE",1263.41785481,734.00230913,6.64604819
"04000KR11","05000KR11110","종로구","05000KR11110","2012","A","ALLIANCE",1259.09468368,818.79886334,6.99737394
"04000KR11","05000KR11110","종로구","05000KR11110","2013","A","ALLIANCE",1219.86782961,866.63830181,7.22604212
"04000KR11","05000KR11110","종로구","05000KR11110","2014","A","ALLIANCE",1320.31574292,909.30659415,7.64618616
"04000KR11","05000KR11110","종로구","05000KR11110","2015","A","ALLIANCE",1350.5695092,1011.1429591,8.10905129
"04000KR11","05000KR11110","종로구","05000KR11110","2016","A","ALLIANCE",1468.93074354,1085.07334298,8.29153043
"04000KR11","05000KR11110","종로구","05000KR11110","2017","A","ALLIANCE",1518.81926323,1131.62958706,8.2535576
"04000KR11","05000KR11110","종로구","05000KR11110","2018","A","ALLIANCE",1568.3538869,1223.84776114,8.38998834
"04000KR11","05000KR11140","중구","05000KR11140","2011","A","ALLIANCE",1346.68923987,732.53489524,6.82113155
"04000KR11","05000KR11140","중구","05000KR11140","2012","A","ALLIANCE",1311.81129814,835.78445878,7.45005081
"04000KR11","05000KR11140","중구","05000KR11140","2013","A","ALLIANCE",1311.79582138,912.12116374,8.17780415
"04000KR11","05000KR11140","중구","05000KR11140","2014","A","ALLIANCE",1361.1011897,983.68875165,8.34100872
"04000KR11","05000KR11140","중구","05000KR11140","2015","A","ALLIANCE",1472.53706783,1129.03894028,8.83117794
"04000KR11","05000KR11140","중구","05000KR11140","2016","A","ALLIANCE",1592.24085317,1247.09729438,9.04748116
"04000KR11","05000KR11140","중구","05000KR11140","2017","A","ALLIANCE",1782.04875075,1420.70654107,10.03884255
"04000KR11","05000KR11140","중구","05000KR11140","2018","A","ALLIANCE",1988.19485449,1505.95900273,9.34206463
"04000KR11","05000KR11170","용산구","05000KR11170","2011","A","ALLIANCE",2417.74577363,701.75937621,6.34926471
"04000KR11","05000KR11170","용산구","05000KR11170","2012","A","ALLIANCE",2168.79849391,767.07560871,6.59229224
"04000KR11","05000KR11170","용산구","05000KR11170","2013","A","ALLIANCE",2058.89151247,818.19172788,6.87014587
"04000KR11","05000KR11170","용산구","05000KR11170","2014","A","ALLIANCE",2295.90107792,879.65280623,7.29248965
"04000KR11","05000KR11170","용산구","05000KR11170","2015","A","ALLIANCE",2412.45204858,1002.42135716,7.40720367
"04000KR11","05000KR11170","용산구","05000KR11170","2016","A","ALLIANCE",2618.10460478,1145.25078275,8.1456457
"04000KR11","05000KR11170","용산구","05000KR11170","2017","A","ALLIANCE",2984.08130935,1243.04009091,8.39183744
"04000KR11","05000KR11170","용산구","05000KR11170","2018","A","ALLIANCE",3225.54226724,1325.20706375,8.47595869
"04000KR11","05000KR11200","성동구","05000KR11200","2011","A","ALLIANCE",1545.24635207,727.18468598,6.22804878
"04000KR11","05000KR11200","성동구","05000KR11200","2012","A","ALLIANCE",1559.70544235,795.33919702,7.12470287
"04000KR11","05000KR11200","성동구","05000KR11200","2013","A","ALLIANCE",1450.24057679,841.16176681,7.63224891
"04000KR11","05000KR11200","성동구","05000KR11200","2014","A","ALLIANCE",1530.46620762,916.42879244,8.13276413
"04000KR11","05000KR11200","성동구","05000KR11200","2015","A","ALLIANCE",1687.49470817,1039.45210979,8.53507852
"04000KR11","05000KR11200","성동구","05000KR11200","2016","A","ALLIANCE",1968.40621179,1177.12250835,8.89429828
"04000KR11","05000KR11200","성동구","05000KR11200","2017","A","ALLIANCE",2520.94171646,1249.13098804,9.52188078
"04000KR11","05000KR11200","성동구","05000KR11200","2018","A","ALLIANCE",2953.96802521,1320.00520644,9.26871598
"04000KR11","05000KR11215","광진구","05000KR11215","2011","A","ALLIANCE",1408.5612861,832.21374041,7.23509641
"04000KR11","05000KR11215","광진구","05000KR11215","2012","A","ALLIANCE",1377.46517748,913.39082057,8.17542459
"04000KR11","05000KR11215","광진구","05000KR11215","2013","A","ALLIANCE",1346.70610898,986.8970419,8.55903538
"04000KR11","05000KR11215","광진구","05000KR11215","2014","A","ALLIANCE",1409.62531824,1074.73766822,8.54857707
"04000KR11","05000KR11215","광진구","05000KR11215","2015","A","ALLIANCE",1514.29756356,1214.15831771,9.21893605
"04000KR11","05000KR11215","광진구","05000KR11215","2016","A","ALLIANCE",1661.97809806,1388.36962393,9.86057058
"04000KR11","05000KR11215","광진구","05000KR11215","2017","A","ALLIANCE",1743.72497589,1527.5663755,10.17367266
"04000KR11","05000KR11215","광진구","05000KR11215","2018","A","ALLIANCE",1843.89932421,1576.03034971,10.27739731
"04000KR11","05000KR11230","동대문구","05000KR11230","2011","A","ALLIANCE",1191.81228061,628.92897555,5.74972747
"04000KR11","05000KR11230","동대문구","05000KR11230","2012","A","ALLIANCE",1143.94660632,681.88642169,6.59200995
"04000KR11","05000KR11230","동대문구","05000KR11230","2013","A","ALLIANCE",1178.5388054,758.90800588,6.96668929
"04000KR11","05000KR11230","동대문구","05000KR11230","2014","A","ALLIANCE",1261.9008618,791.5934852,7.48674345
"04000KR11","05000KR11230","동대문구","05000KR11230","2015","A","ALLIANCE",1339.06464771,929.49683722,7.60767
"04000KR11","05000KR11230","동대문구","05000KR11230","2016","A","ALLIANCE",1449.8379763,1024.70893627,8.12030685
"04000KR11","05000KR11230","동대문구","05000KR11230","2017","A","ALLIANCE",1600.13290233,1133.6542878,8.09037823
"04000KR11","05000KR11230","동대문구","05000KR11230","2018","A","ALLIANCE",1930.5743446,1251.53854773,8.31704187
"04000KR11","05000KR11260","중랑구","05000KR11260","2011","A","ALLIANCE",1156.54473482,674.55483181,5.79917695
"04000KR11","05000KR11260","중랑구","05000KR11260","2012","A","ALLIANCE",1174.99132031,740.18228282,6.48219064
"04000KR11","05000KR11260","중랑구","05000KR11260","2013","A","ALLIANCE",1165.75221538,777.73131998,6.62676545
"04000KR11","05000KR11260","중랑구","05000KR11260","2014","A","ALLIANCE",1170.58772557,866.35032451,6.9991595
"04000KR11","05000KR11260","중랑구","05000KR11260","2015","A","ALLIANCE",1225.0361531,974.19770161,7.39552022
"04000KR11","05000KR11260","중랑구","05000KR11260","2016","A","ALLIANCE",1342.91774296,1147.7491826,8.06123523
"04000KR11","05000KR11260","중랑구","05000KR11260","2017","A","ALLIANCE",1396.29656293,1270.30288135,8.06338671
"04000KR11","05000KR11260","중랑구","05000KR11260","2018","A","ALLIANCE",1466.82302535,1394.60455949,8.00602513
"04000KR11","05000KR11290","성북구","05000KR11290","2011","A","ALLIANCE",1147.86542369,572.13832765,5.08602577
"04000KR11","05000KR11290","성북구","05000KR11290","2012","A","ALLIANCE",1039.86953785,621.46870696,5.87832245
"04000KR11","05000KR11290","성북구","05000KR11290","2013","A","ALLIANCE",1064.55268083,665.86589733,6.31308067
"04000KR11","05000KR11290","성북구","05000KR11290","2014","A","ALLIANCE",1051.79888172,710.82999581,6.76284392
"04000KR11","05000KR11290","성북구","05000KR11290","2015","A","ALLIANCE",1182.95364088,787.48438852,6.7546742
"04000KR11","05000KR11290","성북구","05000KR11290","2016","A","ALLIANCE",1237.21439618,908.74134019,7.40394804
"04000KR11","05000KR11290","성북구","05000KR11290","2017","A","ALLIANCE",1353.546909,1040.99789289,7.92783812
"04000KR11","05000KR11290","성북구","05000KR11290","2018","A","ALLIANCE",1472.63103693,1141.96678569,8.29389566
"04000KR11","05000KR11305","강북구","05000KR11305","2011","A","ALLIANCE",992.45626709,534.36207133,4.58020196
"04000KR11","05000KR11305","강북구","05000KR11305","2012","A","ALLIANCE",958.1387782,572.27301931,4.87994809
"04000KR11","05000KR11305","강북구","05000KR11305","2013","A","ALLIANCE",949.41000264,599.89182142,4.87062663
"04000KR11","05000KR11305","강북구","05000KR11305","2014","A","ALLIANCE",954.85922442,620.9892089,4.97429685
"04000KR11","05000KR11305","강북구","05000KR11305","2015","A","ALLIANCE",992.11462295,688.30280031,5.27558974
"04000KR11","05000KR11305","강북구","05000KR11305","2016","A","ALLIANCE",1065.95463371,812.61168509,5.53987088
"04000KR11","05000KR11305","강북구","05000KR11305","2017","A","ALLIANCE",1106.04491397,911.12938074,5.93105972
"04000KR11","05000KR11305","강북구","05000KR11305","2018","A","ALLIANCE",1152.7051221,968.20406671,5.89802025
"04000KR11","05000KR11320","도봉구","05000KR11320","2011","A","ALLIANCE",957.08102563,535.59985673,4.50666625
"04000KR11","05000KR11320","도봉구","05000KR11320","2012","A","ALLIANCE",950.94962655,582.77670426,4.78967286
"04000KR11","05000KR11320","도봉구","05000KR11320","2013","A","ALLIANCE",914.99094769,614.35078083,4.78029226
"04000KR11","05000KR11320","도봉구","05000KR11320","2014","A","ALLIANCE",921.95884161,637.92282811,5.02875977
"04000KR11","05000KR11320","도봉구","05000KR11320","2015","A","ALLIANCE",957.07837764,707.36436531,5.15719536
"04000KR11","05000KR11320","도봉구","05000KR11320","2016","A","ALLIANCE",988.79581139,787.93671466,5.47133819
"04000KR11","05000KR11320","도봉구","05000KR11320","2017","A","ALLIANCE",1039.24894336,894.0565482,5.54202292
"04000KR11","05000KR11320","도봉구","05000KR11320","2018","A","ALLIANCE",1059.79171131,952.67054009,5.35748924
"04000KR11","05000KR11350","노원구","05000KR11350","2011","A","ALLIANCE",1044.32602005,587.31641396,5.27176719
"04000KR11","05000KR11350","노원구","05000KR11350","2012","A","ALLIANCE",995.72626594,649.42967008,6.33503871
"04000KR11","05000KR11350","노원구","05000KR11350","2013","A","ALLIANCE",1001.94453621,701.01681638,6.89573689
"04000KR11","05000KR11350","노원구","05000KR11350","2014","A","ALLIANCE",983.57330347,735.92975192,6.79933144
"04000KR11","05000KR11350","노원구","05000KR11350","2015","A","ALLIANCE",1029.92262184,809.16112824,7.00628747
"04000KR11","05000KR11350","노원구","05000KR11350","2016","A","ALLIANCE",1065.58062086,885.36710704,7.31737218
"04000KR11","05000KR11350","노원구","05000KR11350","2017","A","ALLIANCE",1132.70588752,911.97921656,7.50823894
"04000KR11","05000KR11350","노원구","05000KR11350","2018","A","ALLIANCE",1205.37059608,936.26394421,7.50362826
"04000KR11","05000KR11380","은평구","05000KR11380","2011","A","ALLIANCE",1044.45596895,569.67065746,4.76821529
"04000KR11","05000KR11380","은평구","05000KR11380","2012","A","ALLIANCE",1002.85609573,617.22532026,5.1355473
"04000KR11","05000KR11380","은평구","05000KR11380","2013","A","ALLIANCE",978.61198398,663.42453603,5.17316158
"04000KR11","05000KR11380","은평구","05000KR11380","2014","A","ALLIANCE",996.20823604,708.79604138,5.52268693
"04000KR11","05000KR11380","은평구","05000KR11380","2015","A","ALLIANCE",1068.42511079,798.96114031,5.81801494
"04000KR11","05000KR11380","은평구","05000KR11380","2016","A","ALLIANCE",1170.36568422,962.40089109,6.44574317
"04000KR11","05000KR11380","은평구","05000KR11380","2017","A","ALLIANCE",1297.41150464,1059.24785595,6.79507357
"04000KR11","05000KR11380","은평구","05000KR11380","2018","A","ALLIANCE",1459.89621566,1157.88001021,6.918216
"04000KR11","05000KR11410","서대문구","05000KR11410","2011","A","ALLIANCE",1083.74717129,629.53509502,5.70407555
"04000KR11","05000KR11410","서대문구","05000KR11410","2012","A","ALLIANCE",1042.94433284,662.08934817,6.59927941
"04000KR11","05000KR11410","서대문구","05000KR11410","2013","A","ALLIANCE",1017.3967641,704.69628392,6.78858106
"04000KR11","05000KR11410","서대문구","05000KR11410","2014","A","ALLIANCE",1079.50479752,750.42504813,6.87986584
"04000KR11","05000KR11410","서대문구","05000KR11410","2015","A","ALLIANCE",1146.52060907,824.955661,7.21213837
"04000KR11","05000KR11410","서대문구","05000KR11410","2016","A","ALLIANCE",1228.33826387,939.65191082,7.39634992
"04000KR11","05000KR11410","서대문구","05000KR11410","2017","A","ALLIANCE",1407.21060998,1056.05694003,7.61437365
"04000KR11","05000KR11410","서대문구","05000KR11410","2018","A","ALLIANCE",1562.98368875,1131.83915216,8.18578348
"04000KR11","05000KR11440","마포구","05000KR11440","2011","A","ALLIANCE",1503.30603047,781.7529939,7.19218287
"04000KR11","05000KR11440","마포구","05000KR11440","2012","A","ALLIANCE",1401.21061969,862.59187889,7.96990503
"04000KR11","05000KR11440","마포구","05000KR11440","2013","A","ALLIANCE",1361.23848839,924.60190656,8.26595031
"04000KR11","05000KR11440","마포구","05000KR11440","2014","A","ALLIANCE",1459.70074944,1021.58491887,8.4780602
"04000KR11","05000KR11440","마포구","05000KR11440","2015","A","ALLIANCE",1553.06878132,1119.66205556,8.75497961
"04000KR11","05000KR11440","마포구","05000KR11440","2016","A","ALLIANCE",1693.43419076,1297.51149648,9.46917924
"04000KR11","05000KR11440","마포구","05000KR11440","2017","A","ALLIANCE",1885.93267346,1435.67344165,9.68971744
"04000KR11","05000KR11440","마포구","05000KR11440","2018","A","ALLIANCE",2045.00994647,1495.78782765,9.74680856
"04000KR11","05000KR11470","양천구","05000KR11470","2011","A","ALLIANCE",1114.98584437,619.75913559,5.19011667
"04000KR11","05000KR11470","양천구","05000KR11470","2012","A","ALLIANCE",1031.09887167,675.94966775,5.5110939
"04000KR11","05000KR11470","양천구","05000KR11470","2013","A","ALLIANCE",1005.8736178,722.66364388,5.41315556
"04000KR11","05000KR11470","양천구","05000KR11470","2014","A","ALLIANCE",1034.97185884,770.89592291,5.66567215
"04000KR11","05000KR11470","양천구","05000KR11470","2015","A","ALLIANCE",1076.45871795,891.85204543,6.00013854
"04000KR11","05000KR11470","양천구","05000KR11470","2016","A","ALLIANCE",1137.75071572,1014.23966438,6.65150394
"04000KR11","05000KR11470","양천구","05000KR11470","2017","A","ALLIANCE",1214.9996081,1127.39930296,6.68487487
"04000KR11","05000KR11470","양천구","05000KR11470","2018","A","ALLIANCE",1291.09039295,1198.8579488,6.75759439
"04000KR11","05000KR11500","강서구","05000KR11500","2011","A","ALLIANCE",1067.06407511,612.51270372,5.31711784
"04000KR11","05000KR11500","강서구","05000KR11500","2012","A","ALLIANCE",1024.44237752,666.17913452,5.51067693
"04000KR11","05000KR11500","강서구","05000KR11500","2013","A","ALLIANCE",1023.4727447,712.54162298,5.68098142
"04000KR11","05000KR11500","강서구","05000KR11500","2014","A","ALLIANCE",1033.29973447,762.30412059,5.81426031
"04000KR11","05000KR11500","강서구","05000KR11500","2015","A","ALLIANCE",1084.61423638,905.87336594,6.19084871
"04000KR11","05000KR11500","강서구","05000KR11500","2016","A","ALLIANCE",1156.25280179,1044.70597595,6.73867153
"04000KR11","05000KR11500","강서구","05000KR11500","2017","A","ALLIANCE",1260.15180089,1175.0422446,6.99224161
"04000KR11","05000KR11500","강서구","05000KR11500","2018","A","ALLIANCE",1331.43147297,1268.12095934,7.05717393
"04000KR11","05000KR11530","구로구","05000KR11530","2011","A","ALLIANCE",1037.1642881,574.95599349,4.84319557
"04000KR11","05000KR11530","구로구","05000KR11530","2012","A","ALLIANCE",1023.16405428,621.71035938,5.07178207
"04000KR11","05000KR11530","구로구","05000KR11530","2013","A","ALLIANCE",1003.88324913,660.13774719,5.2879903
"04000KR11","05000KR11530","구로구","05000KR11530","2014","A","ALLIANCE",1002.70044232,705.48219398,5.3204391
"04000KR11","05000KR11530","구로구","05000KR11530","2015","A","ALLIANCE",1049.74067334,773.50436175,5.69707008
"04000KR11","05000KR11530","구로구","05000KR11530","2016","A","ALLIANCE",1134.73672837,873.90888595,5.96763876
"04000KR11","05000KR11530","구로구","05000KR11530","2017","A","ALLIANCE",1198.82370195,989.32644102,5.87475
"04000KR11","05000KR11530","구로구","05000KR11530","2018","A","ALLIANCE",1288.94436087,1079.44275723,5.93625732
"04000KR11","05000KR11545","금천구","05000KR11545","2011","A","ALLIANCE",1025.76724129,588.50258607,4.83605179
"04000KR11","05000KR11545","금천구","05000KR11545","2012","A","ALLIANCE",1038.54908807,646.86742399,5.54374556
"04000KR11","05000KR11545","금천구","05000KR11545","2013","A","ALLIANCE",1055.52818661,681.93525801,5.8087413
"04000KR11","05000KR11545","금천구","05000KR11545","2014","A","ALLIANCE",1073.82365472,771.64055929,6.29416047
"04000KR11","05000KR11545","금천구","05000KR11545","2015","A","ALLIANCE",1134.89231064,844.45709059,6.61101975
"04000KR11","05000KR11545","금천구","05000KR11545","2016","A","ALLIANCE",1231.11287493,1014.40718256,6.99715869
"04000KR11","05000KR11545","금천구","05000KR11545","2017","A","ALLIANCE",1288.7536824,1136.9115184,7.30040556
"04000KR11","05000KR11545","금천구","05000KR11545","2018","A","ALLIANCE",1373.69515753,1283.29348668,7.25489203
"04000KR11","05000KR11560","영등포구","05000KR11560","2011","A","ALLIANCE",1310.0640797,743.5789389,6.52965529
"04000KR11","05000KR11560","영등포구","05000KR11560","2012","A","ALLIANCE",1271.6773,838.26361003,7.70894242
"04000KR11","05000KR11560","영등포구","05000KR11560","2013","A","ALLIANCE",1249.97629171,899.18220073,8.21631225
"04000KR11","05000KR11560","영등포구","05000KR11560","2014","A","ALLIANCE",1295.74479466,961.17247163,8.57545569
"04000KR11","05000KR11560","영등포구","05000KR11560","2015","A","ALLIANCE",1361.65266259,1123.99006623,8.69082371
"04000KR11","05000KR11560","영등포구","05000KR11560","2016","A","ALLIANCE",1516.74230233,1304.46864232,9.32518704
"04000KR11","05000KR11560","영등포구","05000KR11560","2017","A","ALLIANCE",1694.4467129,1469.02691288,9.57079231
"04000KR11","05000KR11560","영등포구","05000KR11560","2018","A","ALLIANCE",1936.60131256,1663.51752181,9.56435396
"04000KR11","05000KR11590","동작구","05000KR11590","2011","A","ALLIANCE",1333.5974653,742.78837757,6.63903744
"04000KR11","05000KR11590","동작구","05000KR11590","2012","A","ALLIANCE",1276.09044356,819.35447298,7.26996262
"04000KR11","05000KR11590","동작구","05000KR11590","2013","A","ALLIANCE",1259.16720015,882.52158651,7.86792396
"04000KR11","05000KR11590","동작구","05000KR11590","2014","A","ALLIANCE",1336.13333931,952.97592119,8.14271255
"04000KR11","05000KR11590","동작구","05000KR11590","2015","A","ALLIANCE",1402.05578139,1077.64456278,8.58641089
"04000KR11","05000KR11590","동작구","05000KR11590","2016","A","ALLIANCE",1509.79484773,1245.88810944,9.61737899
"04000KR11","05000KR11590","동작구","05000KR11590","2017","A","ALLIANCE",1703.6026425,1341.55583737,9.5424289
"04000KR11","05000KR11590","동작구","05000KR11590","2018","A","ALLIANCE",1912.83625644,1426.03812263,9.63973297
"04000KR11","05000KR11620","관악구","05000KR11620","2011","A","ALLIANCE",1133.03544144,693.17678485,6.12086672
"04000KR11","05000KR11620","관악구","05000KR11620","2012","A","ALLIANCE",1076.93607458,757.68164262,6.8130237
"04000KR11","05000KR11620","관악구","05000KR11620","2013","A","ALLIANCE",1084.52272619,809.1158314,7.19811838
"04000KR11","05000KR11620","관악구","05000KR11620","2014","A","ALLIANCE",1175.19749646,888.1173813,7.59656826
"04000KR11","05000KR11620","관악구","05000KR11620","2015","A","ALLIANCE",1236.43516484,1002.2692593,7.93650392
"04000KR11","05000KR11620","관악구","05000KR11620","2016","A","ALLIANCE",1300.95370106,1176.79644565,8.70963634
"04000KR11","05000KR11620","관악구","05000KR11620","2017","A","ALLIANCE",1409.91163769,1318.00174917,9.02838387
"04000KR11","05000KR11620","관악구","05000KR11620","2018","A","ALLIANCE",1496.9195449,1395.36562948,9.7135235
"04000KR11","05000KR11650","서초구","05000KR11650","2011","A","ALLIANCE",1992.81261037,958.55334625,8.43165984
"04000KR11","05000KR11650","서초구","05000KR11650","2012","A","ALLIANCE",1889.02858851,1034.99373877,8.95110717
"04000KR11","05000KR11650","서초구","05000KR11650","2013","A","ALLIANCE",1889.58791172,1132.88662512,9.25696274
"04000KR11","05000KR11650","서초구","05000KR11650","2014","A","ALLIANCE",1930.89987067,1237.58483806,9.59703041
"04000KR11","05000KR11650","서초구","05000KR11650","2015","A","ALLIANCE",2104.24669891,1434.88625612,10.43869846
"04000KR11","05000KR11650","서초구","05000KR11650","2016","A","ALLIANCE",2404.81202524,1609.7628991,11.20048516
"04000KR11","05000KR11650","서초구","05000KR11650","2017","A","ALLIANCE",2660.75624324,1724.46251458,11.30686231
"04000KR11","05000KR11650","서초구","05000KR11650","2018","A","ALLIANCE",3012.6813839,1869.0502691,11.73961776
"04000KR11","05000KR11680","강남구","05000KR11680","2011","A","ALLIANCE",2044.67614023,1015.04019499,9.21887007
"04000KR11","05000KR11680","강남구","05000KR11680","2012","A","ALLIANCE",1919.30449244,1089.62251601,9.67866408
"04000KR11","05000KR11680","강남구","05000KR11680","2013","A","ALLIANCE",1941.41075801,1162.0420856,9.96112691
"04000KR11","05000KR11680","강남구","05000KR11680","2014","A","ALLIANCE",2038.41993382,1259.89128519,10.12220318
"04000KR11","05000KR11680","강남구","05000KR11680","2015","A","ALLIANCE",2185.45567828,1428.00494327,10.7590191
"04000KR11","05000KR11680","강남구","05000KR11680","2016","A","ALLIANCE",2468.67399793,1655.14472813,11.36570721
"04000KR11","05000KR11680","강남구","05000KR11680","2017","A","ALLIANCE",2732.04537363,1747.76355941,11.32658246
"04000KR11","05000KR11680","강남구","05000KR11680","2018","A","ALLIANCE",3034.00865769,1836.81652584,11.66932176
"04000KR11","05000KR11710","송파구","05000KR11710","2011","A","ALLIANCE",1603.99236231,877.82469709,7.99974697
"04000KR11","05000KR11710","송파구","05000KR11710","2012","A","ALLIANCE",1506.69981744,954.85061343,8.34041577
"04000KR11","05000KR11710","송파구","05000KR11710","2013","A","ALLIANCE",1515.00858182,1031.54233651,8.5373941
"04000KR11","05000KR11710","송파구","05000KR11710","2014","A","ALLIANCE",1531.66657985,1093.92877285,8.53965376
"04000KR11","05000KR11710","송파구","05000KR11710","2015","A","ALLIANCE",1625.3969262,1243.76617332,9.14214275
"04000KR11","05000KR11710","송파구","05000KR11710","2016","A","ALLIANCE",1763.19535703,1374.46390646,9.65140878
"04000KR11","05000KR11710","송파구","05000KR11710","2017","A","ALLIANCE",1945.00650826,1476.45854469,9.53204363
"04000KR11","05000KR11710","송파구","05000KR11710","2018","A","ALLIANCE",2071.12336643,1543.99556243,9.71246049
"04000KR11","05000KR11740","강동구","05000KR11740","2011","A","ALLIANCE",1335.6424381,795.28273559,7.20738136
"04000KR11","05000KR11740","강동구","05000KR11740","2012","A","ALLIANCE",1340.56775863,893.33224399,7.75080366
"04000KR11","05000KR11740","강동구","05000KR11740","2013","A","ALLIANCE",1383.38338878,963.95067067,8.03501407
"04000KR11","05000KR11740","강동구","05000KR11740","2014","A","ALLIANCE",1383.26249676,1047.58116,8.30712724
"04000KR11","05000KR11740","강동구","05000KR11740","2015","A","ALLIANCE",1479.56576859,1236.8004161,8.86857306
"04000KR11","05000KR11740","강동구","05000KR11740","2016","A","ALLIANCE",1637.50046326,1363.48562134,9.63966245
"04000KR11","05000KR11740","강동구","05000KR11740","2017","A","ALLIANCE",1723.82089904,1510.4993814,9.19369086
"04000KR11","05000KR11740","강동구","05000KR11740","2018","A","ALLIANCE",1794.25129747,1578.97456001,9.58318835
